Filename,DOI,OpenAlex ID,PMID,PMCID,Title,Authors,First Author,Journal,Publication Year,Create Date,Citation,Metadata Source,File Size Bytes,Page Count,SHA256,PDF Title,PDF Author,PDF Subject,PDF Keywords,PDF Creator,PDF Producer
10.1101_2020.10.13.20211821__d2bae84960a6.pdf,10.1101/2020.10.13.20211821,,,,"“Clinical characteristics, symptoms, management and health outcomes in 8,598 pregnant women diagnosed with COVID-19 compared to 27,510 with seasonal influenza in France, Spain and the US: a network cohort analysis”","Lai L, Golozar A, Sena A, Margulis A, Haro N, Casajust P, Valveny N, Prats-Uribe A, Minty E, Ahmed W, Alshammari T, Morales D, Alghoul H, Alser O, Dawoud D, Zhang L, Posada J, Shah N, Blacketer C, Areia C, Subbian V, Nyberg F, Lane J, Suchard M, Gong M, Recalde M, Jonnagaddala J, Shah K, Roel E, Vizcaya D, Fortin S, Joanne Cheng R, Reich C, Hripcsak G, Rijnbeek P, Ryan P, Kostka K, Duarte-Salles T, Prieto-Alhambra D",Lai L,,2020,,,crossref,787438,24,dd049d14011138f39cb8c288b9d514119d19b3b5012fa0c2c9db760b95e9020d,17065704,Administrator,,,Appligent AppendPDF Pro 5.5,Acrobat Distiller 8.1.0 (Windows)
10.1101_2020.10.25.20218875__beb631634385.pdf,10.1101/2020.10.25.20218875,,,,"Baseline phenotype and 30-day outcomes of people tested for COVID-19: an international network cohort including &gt;3.32 million people tested with real-time PCR and &gt;219,000 tested positive for SARS-CoV-2 in South Korea, Spain and the United States","Golozar A, Lai L, Sena A, Vizcaya D, Schilling L, Huser V, Nyberg F, Duvall S, Morales D, Alshammari T, Abedtash H, Ahmed W, Alser O, Alghoul H, Zhang Y, Gong M, Guan Y, Areia C, Jonnagaddala J, Shah K, Lane J, Prats-Uribe A, Posada J, Shah N, Subbian V, Zhang L, Fernandes Abrahão M, Rijnbeek P, You S, Casajust P, Roel E, Recalde M, Fernández-Bertolín S, Andryc A, Thomas J, Wilcox A, Fortin S, Blacketer C, DeFalco F, Natarajan K, Falconer T, Spotnitz M, Ostropolets A, Hripcsak G, Suchard M, Lynch K, Matheny M, Williams A, Reich C, Duarte-Salles T, Kostka K, Ryan P, Prieto-Alhambra D",Golozar A,,2020,,,crossref,304794,16,4806938492aa585efeb97217d6bc5e7d0e1f5a120650779702fb62536111f64c,"Baseline phenotype and 30-day outcomes of people tested for COVID-19: an international network cohort including >3.32 million people tested with real-time PCR and >219,000 tested positive for SARS-CoV-2 in South Korea, Spain and the United States",Administrator,,,PScript5.dll Version 5.2.2,Acrobat Distiller 8.1.0 (Windows)
10.1101_2020.10.29.20222083__c1d0b40c22bc.pdf,10.1101/2020.10.29.20222083,,,,"Baseline characteristics, management, and outcomes of 55,270 children and adolescents diagnosed with COVID-19 and 1,952,693 with influenza in France, Germany, Spain, South Korea and the United States: an international network cohort study","Duarte-Salles T, Vizcaya D, Pistillo A, Casajust P, Sena A, Lai L, Prats-Uribe A, Ahmed W, Alshammari T, Alghoul H, Alser O, Burn E, You S, Areia C, Blacketer C, DuVall S, Falconer T, Fernandez-Bertolin S, Fortin S, Golozar A, Gong M, Tan E, Huser V, Iveli P, Morales D, Nyberg F, Posada J, Recalde M, Roel E, Schilling L, Shah N, Shah K, Suchard M, Zhang L, Zhang Y, Williams A, Reich C, Hripcsak G, Rijnbeek P, Ryan P, Kostka K, Prieto-Alhambra D",Duarte-Salles T,,2020,,,crossref,741229,35,db9bf4c1934d2f572a55fdf3ba1de5dd188da599ec8b1ea8dffae3f911d854b7,"Baseline characteristics, management, and outcomes of 55,270 children and adolescents diagnosed with COVID-19 and 1,952,693 with influenza in France, Germany, Spain, South Korea and the United States: an international network cohort study",Administrator,,,PScript5.dll Version 5.2.2,Acrobat Distiller 8.1.0 (Windows)
10.1101_2020.11.10.20229401__99497d914cc4.pdf,10.1101/2020.11.10.20229401,,,,Using Real World Data to Understand HIV and COVID-19 in the U.S.A. and Spain: Characterizing Co-Infected Patients Across the Care Cascade,"Kohler J, Kostka K, Makadia R, Paredes R, Duarte-Salles T, Duvall S, Cheng A, Golozar A, Lane J, Sena A, Rijnbeek P, Morales D, Ryan P, Reich C, Matheny M, Lynch K, Siberry G, Prieto-Alhambra D",Kohler J,,2020,,,crossref,593878,23,5a1cbdcd2533d2c86ea164cfcbbc80edb2a78d2fc9d2d3fd5be58945a64044d1,Using Real World Data to Understand HIV and COVID-19 in the U.S.A. and Spain: Characterizing Co-Infected Patients Across the Care Cascade,Administrator,,,PScript5.dll Version 5.2.2,Acrobat Distiller 8.1.0 (Windows)
10.1101_2020.11.16.20230730__e8d9c524228f.pdf,10.1101/2020.11.16.20230730,,,,Lossless Distributed Linear Mixed Model with Application to Integration of Heterogeneous Healthcare Data,"Luo C, Islam M, Sheils N, Reps J, Buresh J, Duan R, Tong J, Edmondson M, Schumie M, Chen Y",Luo C,,2020,,,crossref,1345144,16,c0913a37ae90e6e742b7583ac65cbe8907cbc1118bf0006693ab3a2020e70fea,Lossless Distributed Linear Mixed Model with Application to Integration of Heterogeneous Healthcare Data,"Sheils, Natalie",,,Microsoft Word,
10.1101_2020.11.17.20232983__719cbd3ce9e2.pdf,10.1101/2020.11.17.20232983,,,,COHD-COVID: Columbia Open Health Data for COVID-19 Research,"Lee J, Kim J, Liu C, Hripcsak G, Ta C, Weng C",Lee J,,2020,,,crossref,2076487,24,4a01313feecf03cf67324ac768cebf7cf7966bbb707c597fb52543385834c0fc,COHD-COVID: Columbia Open Health Data for COVID-19 Research,Jay,,,,Microsoft: Print To PDF
10.1101_2020.11.24.20236802__4b731f8b96ba.pdf,10.1101/2020.11.24.20236802,,,,"Characteristics, outcomes, and mortality amongst 133,589 patients with prevalent autoimmune diseases diagnosed with, and 48,418 hospitalised for COVID-19: a multinational distributed network cohort analysis","Tan E, Sena A, Prats-Uribe A, You S, Ahmed W, Kostka K, Reich C, Duvall S, Lynch K, Matheny M, Duarte-Salles T, Bertolin S, Hripcsak G, Natarajan K, Falconer T, Spotnitz M, Ostropolets A, Blacketer C, Alshammari T, Alghoul H, Alser O, Lane J, Dawoud D, Shah K, Yang Y, Zhang L, Areia C, Golozar A, Relcade M, Casajust P, Jonnagaddala J, Subbian V, Vizcaya D, Lai L, Nyberg F, Morales D, Posada J, Shah N, Gong M, Vivekanantham A, Abend A, Minty E, Suchard M, Rijnbeek P, Ryan P, Prieto-Alhambra D",Tan E,,2020,,,crossref,744530,25,3f9f19a257b0cfdf2faad53107e85d4a9d678404752497f29b3150dbef80bc21,"Characteristics, outcomes, and mortality amongst 133,589 patients with prevalent autoimmune diseases diagnosed with, and 48,418 hospitalised for COVID-19: a multinational distributed network cohort analysis",Cheryl Tan,,,Microsoft® Word for Microsoft 365,Microsoft® Word for Microsoft 365
10.1101_2020.11.25.20229088__f5b2de8b18cc.pdf,10.1101/2020.11.25.20229088,,33269356,PMC7709172,"Use of dialysis, tracheostomy, and extracorporeal membrane oxygenation among 842,928 patients hospitalized with COVID-19 in the United States","Burn E, Sena AG, Prats-Uribe A, Spotnitz M, DuVall S, Lynch KE, Matheny ME, Nyberg F, Ahmed WU, Alser O, Alghoul H, Alshammari T, Zhang L, Casajust P, Areia C, Shah K, Reich C, Blacketer C, Andryc A, Fortin S, Natarajan K, Gong M, Golozar A, Morales D, Rijnbeek P, Subbian V, Roel E, Recalde M, Lane JCE, Vizcaya D, Posada JD, Shah NH, Jonnagaddala J, Lai LYH, Avilés-Jurado FX, Hripcsak G, Suchard MA, Ranzani OT, Ryan P, Prieto-Alhambra D, Kostka K, Duarte-Salles T.",Burn E,medRxiv,2021,2020/12/03,medRxiv [Preprint]. 2021 Feb 12:2020.11.25.20229088. doi: 10.1101/2020.11.25.20229088.,existing_csv,633997,13,671d67c0f8077ad0e8892bc186e09138d2efb67f649bc66ac06fd06e1799cef5,"Use of dialysis, tracheostomy, and extracorporeal membrane oxygenation among 842,928 patients hospitalized with COVID-19 in the United States",Edward Arthur Orwin Burn,,,Microsoft® Word for Microsoft 365,Microsoft® Word for Microsoft 365
10.1101_2020.11.25.20237776__a68f5c5c35fc.pdf,10.1101/2020.11.25.20237776,,,,"Body mass index and risk of COVID-19 diagnosis, hospitalisation, and death: a population-based multi-state cohort analysis including 2,524,926 people in Catalonia, Spain","Recalde M, Pistillo A, Fernandez-Bertolin S, Roel E, Aragon M, Freisling H, Prieto-Alhambra D, Burn E, Duarte-Salles T",Recalde M,,2020,,,crossref,760473,29,fef0b60e21ea198ba12d8428c9f8103b84eaa20fac1471d3ce0cab344c77b7e7,"Body mass index and risk of COVID-19 diagnosis, hospitalisation, and death: a population-based multi-state cohort analysis including 2,524,926 people in Catalonia, Spain",Martina Recalde,,,Microsoft® Word 2010,Microsoft® Word 2010
10.1101_2020.12.14.20240994__7d16d5d1c092.pdf,10.1101/2020.12.14.20240994,,,,Development and validation of patient-level prediction models for adverse outcomes following total knee arthroplasty,"Williams R, Reps J, Sena A, Burn E, Ying H, Morales D, Culliford D, Yu D, Strauss V, Duarte-Salles T, Prats-Uribe A, Delmestri A, Weaver J, Sproviero W, Robinson D, Morgan-Stewart H, Birlie B, Pinedo-Villanueva R, Kolovos S, John L, Costello R, van Speybroeck M, O'Leary C, Minty E, Falconer T, Bourke A, Pfohl S, Burkard T, Lane J, Rijnbeek P, Ryan P, Prieto-Alhambra D",Williams R,,2020,,,crossref,566010,31,6a7025a90f57b7c7d8e611b9daa5bb75700740595e15f61dd9bb4abbac20523e,Development and validation of patient-level prediction models for adverse outcomes following total knee arthroplasty,Ross Williams,,,Microsoft® Word for Microsoft 365,Microsoft® Word for Microsoft 365
10.1101_2020.12.17.20248194__a9d0bf643cb0.pdf,10.1101/2020.12.17.20248194,,,,An Efficient and Accurate Distributed Learning Algorithm for Modeling Multi-Site Zero- Inflated Count Outcomes,"Edmondson M, Luo C, Duan R, Maltenfort M, Chen Z, Locke K, Shults J, Bian J, Ryan P, Forrest C, Chen Y",Edmondson M,,2020,,,crossref,746118,35,beecf17b94a461725e7dfdb999b72e60b6a66ae4f1a42322d01717402c2e5998,An Efficient and Accurate Distributed Learning Algorithm for Modeling Multi-Site Zero- Inflated Count Outcomes,,,,Word,macOS Version 10.14.6 (Build 18G8022) Quartz PDFContext
10.1101_2021.01.12.21249511__0bd3bc95e99d.pdf,10.1101/2021.01.12.21249511,,,,The National COVID Cohort Collaborative: Clinical Characterization and Early Severity Prediction,"Bennett T, Moffitt R, Hajagos J, Amor B, Anand A, Bissell M, Bradwell K, Bremer C, Byrd J, Denham A, DeWitt P, Gabriel D, Garibaldi B, Girvin A, Guinney J, Hill E, Hong S, Jimenez H, Kavuluru R, Kostka K, Lehmann H, Levitt E, Mallipattu S, Manna A, McMurry J, Morris M, Muschelli J, Neumann A, Palchuk M, Pfaff E, Qian Z, Qureshi N, Russell S, Spratt H, Walden A, Williams A, Wooldridge J, Yoo Y, Zhang X, Zhu R, Austin C, Saltz J, Gersing K, Haendel M, Chute C",Bennett T,,2021,,,crossref,838702,27,1e6cafdca53bff1c27dfd7280465794979420c238811015c5cf9f5fd88f8ec71,The National COVID Cohort Collaborative: Clinical Characterization and Early Severity Prediction,Administrator,,,PScript5.dll Version 5.2.2,Acrobat Distiller 8.1.0 (Windows)
10.1101_2021.01.12.21249672__2deb56dfbc1e.pdf,10.1101/2021.01.12.21249672,,,,"Characteristics and outcomes of 118,155 COVID-19 individuals with a history of cancer in the United States and Spain","Roel E, Pistillo A, Recalde M, Sena A, Fernández-Bertolín S, Aragón M, Puente D, Ahmed W, Alghoul H, Alser O, Alshammari T, Areia C, Blacketer C, Carter W, Casajust P, Culhane A, Dawoud D, DeFalco F, Duvall S, Falconer T, Golozar A, Gong M, Hester L, Hripcsak G, Tan E, Jeon H, Jonnagaddala J, Lai L, Lynch K, Matheny M, Morales D, Natarajan K, Nyberg F, Ostropolets A, Posada J, Prats-Uribe A, Reich C, Rivera D, Schilling L, Soerjomataram I, Shah K, Shah N, Shen Y, Spotniz M, Subbian V, Suchard M, Trama A, Zhang L, Zhang Y, Ryan P, Prieto-Alhambra D, Kostka K, Duarte-Salles T",Roel E,,2021,,,crossref,1185723,45,cb7808b599e942133a7d59e848e726b633ccafecac213c2c2b8e50bcf8ebe560,"Characteristics and outcomes of 118,155 COVID-19 individuals with a history of cancer in the United States and Spain",Administrator,,,PScript5.dll Version 5.2.2,Acrobat Distiller 8.1.0 (Windows)
10.1101_2021.01.28.21249411__74152d081f67.pdf,10.1101/2021.01.28.21249411,,,,Racial and Ethnic Disparities in Years of Potential Life Lost Attributable to COVID-19 in the United States: An Analysis of 45 States and the District of Columbia,"Xu J, Chen J, Belin T, Brookmeyer R, Suchard M, Ramirez C",Xu J,,2021,,,crossref,1473543,27,13ccc9ce59814f8e1644e510ded048ead9e25ef24468bc3182192e73faa9a55f,Racial and Ethnic Disparities in Years of Potential Life Lost Attributable to COVID-19 in the United States: An Analysis of 45 States and the District of Columbia,"Firstname Lastname, Firstname Lastname and Firstname Lastname","The coronavirus disease 2019 (COVID-19) epidemic in the United States has disproportionately impacted communities of color across the country. Focusing on COVID-19-attributable mortality, we expand upon a national comparative analysis of years of potential life lost (YPLL) attributable to COVID-19 by race/ethnicity (Bassett et al., 2020), estimating percentages of total YPLL for non-Hispanic Whites, non-Hispanic Blacks, Hispanics, non-Hispanic Asians, and non-Hispanic American Indian or Alaska Natives, contrasting them with their respective percent population shares, as well as age-adjusted YPLL rate ratios – anchoring comparisons to non-Hispanic Whites – in each of 45 states and the District of Columbia using data from the National Center for Health Statistics as of December 30, 2020. Using a novel Monte Carlo simulation procedure to quantify estimation uncertainty, our results reveal substantial racial/ethnic disparities in COVID-19-attributable YPLL across states, with a prevailing pattern of non-Hispanic Blacks and Hispanics experiencing disproportionately high and non-Hispanic Whites experiencing disproportionately low COVID-19-attributable YPLL. Furthermore, observed disparities are generally more pronounced when measuring mortality in terms of YPLL compared to death counts, reflecting the greater intensity of the disparities at younger ages. We also find substantial state-to-state variability in the magnitudes of the estimated racial/ethnic disparities, suggesting that they are driven in large part by social determinants of health whose degree of association with race/ethnicity varies by state.",Communities of Color; Coronavirus; COVID-19; Epidemiology; Monte Carlo Simulation; Public Health; Racial and Ethnic Disparities; United States; Social Determinants of Health; Years of Potential Life Lost,LaTeX with hyperref,pdfTeX-1.40.21
10.1101_2021.02.05.21251235__2abbcaddb345.pdf,10.1101/2021.02.05.21251235,,,,Emergence of an early SARS-CoV-2 epidemic in the United States,"Zeller M, Gangavarapu K, Anderson C, Smither A, Vanchiere J, Rose R, Snyder D, Dudas G, Watts A, Matteson N, Robles-Sikisaka R, Marshall M, Feehan A, Sabino-Santos G, Bell-Kareem A, Hughes L, Alkuzweny M, Snarski P, Garcia-Diaz J, Scott R, Melnik L, Klitting R, McGraw M, Belda-Ferre P, DeHoff P, Sathe S, Marotz C, Grubaugh N, Nolan D, Drouin A, Genemaras K, Chao K, Topol S, Spencer E, Nicholson L, Aigner S, Yeo G, Farnaes L, Hobbs C, Laurent L, Knight R, Hodcroft E, Khan K, Fusco D, Cooper V, Lemey P, Gardner L, Lamers S, Kamil J, Garry R, Suchard M, Andersen K",Zeller M,,2021,,,crossref,5317459,26,f313f652361c159d3eb4c88ceebe052feb382c638d83786086d69cc830414be9,Emergence of an early SARS-CoV-2 epidemic in the United States,,,,,Skia/PDF m90
10.1101_2021.02.06.21251159__9cbcad64da03.pdf,10.1101/2021.02.06.21251159,,,,Genomic epidemiology identifies emergence and rapid transmission of SARS-CoV-2 B.1.1.7 in the United States,"Washington N, Gangavarapu K, Zeller M, Bolze A, Cirulli E, Barrett K, Larsen B, Anderson C, White S, Cassens T, Jacobs S, Levan G, Nguyen J, Ramirez J, Rivera-Garcia C, Sandoval E, Wang X, Wong D, Spencer E, Robles-Sikisaka R, Kurzban E, Hughes L, Deng X, Wang C, Servellita V, Valentine H, De Hoff P, Seaver P, Sathe S, Gietzen K, Sickler B, Antico J, Hoon K, Liu J, Harding A, Bakhtar O, Basler T, Austin B, Isaksson M, Febbo P, Becker D, Laurent M, McDonald E, Yeo G, Knight R, Laurent L, de Feo E, Worobey M, Chiu C, Suchard M, Lu J, Lee W, Andersen K",Washington N,,2021,,,crossref,2645697,19,4a3623ad8ba236706c622e706512a9222a3a64cf22ee15c159834524667ffa40,Genomic epidemiology identifies emergence and rapid transmission of SARS-CoV-2 B.1.1.7 in the United States,Kristian Andersen,,,Word,macOS Version 11.2 (Build 20D64) Quartz PDFContext
10.1101_2021.02.19.21251770__92da48fb2a9e.pdf,10.1101/2021.02.19.21251770,,,,Assessing the impact of a national clinical guideline for the management of chronic pain on opioid prescribing rates: A controlled interrupted time series analysis,"Hébert H, Morales D, Torrance N, Smith B, Colvin L",Hébert H,,2021,,,crossref,234262,27,f29dbfb8441ce13103a902f06ab4bcbab6176e0f77e37da4898d8cf5c3a891c3,30336222,Administrator,,,Appligent AppendPDF Pro 5.5,Acrobat Distiller 8.1.0 (Windows)
10.1101_2021.02.26.21252554__6cf486523bdf.pdf,10.1101/2021.02.26.21252554,,,,"Genomics and epidemiology of a novel SARS-CoV-2 lineage in Manaus, Brazil","Faria N, Mellan T, Whittaker C, Claro I, Candido D, Mishra S, Crispim M, Sales F, Hawryluk I, McCrone J, Hulswit R, Franco L, Ramundo M, de Jesus J, Andrade P, Coletti T, Ferreira G, Silva C, Manuli E, Pereira R, Peixoto P, Kraemer M, Gaburo N, Camilo C, Hoeltgebaum H, Souza W, Rocha E, de Souza L, de Pinho M, Araujo L, Malta F, de Lima A, Silva J, Zauli D, Ferreira A, Schnekenberg R, Laydon D, Walker P, Schlüter H, dos Santos A, Vidal M, Del Caro V, Filho R, dos Santos H, Aguiar R, Modena J, Nelson B, Hay J, Monod M, Miscouridou X, Coupland H, Sonabend R, Vollmer M, Gandy A, Suchard M, Bowden T, Pond S, Wu C, Ratmann O, Ferguson N, Dye C, Loman N, Lemey P, Rambaut A, Fraiji N, Carvalho M, Pybus O, Flaxman S, Bhatt S, Sabino E",Faria N,,2021,,,crossref,3318189,45,937757b074d93e1852d61d49fdad7df5a1fc0713dcc119a47f59dd9ae138a20c,"Genomics and epidemiology of a novel SARS-CoV-2 lineage in Manaus, Brazil",Charlie Whittaker,,,Acrobat PDFMaker 21 for Word,Adobe PDF Library 21.1.170
10.1101_2021.03.18.21253778__66cd9dd59f07.pdf,10.1101/2021.03.18.21253778,,33791740,PMC8010772,Alpha-1 blockers and susceptibility to COVID-19 in benign prostate hyperplasia patients : an international cohort study,"Nishimura A, Xie J, Kostka K, Duarte-Salles T, Bertolín SF, Aragón M, Blacketer C, Shoaibi A, DuVall SL, Lynch K, Matheny ME, Falconer T, Morales DR, Conover MM, You SC, Pratt N, Weaver J, Sena AG, Schuemie MJ, Reps J, Reich C, Rijnbeek PR, Ryan PB, Hripcsak G, Prieto-Alhambra D, Suchard MA.",Nishimura A,medRxiv,2021,2021/04/01,medRxiv [Preprint]. 2021 Mar 24:2021.03.18.21253778. doi: 10.1101/2021.03.18.21253778.,existing_csv,2159003,29,f43891c4ac3fd231d1b48d887a98b520c844c1008f274845035cdce3aaeb9599,Microsoft Word - alpha_blocker_manuscript_final.docx,,,,Word,macOS Version 10.15.7 (Build 19H524) Quartz PDFContext
10.1101_2021.03.19.21253756__2328a0f1c821.pdf,10.1101/2021.03.19.21253756,,,,Characterizing Post-Acute Sequelae of SARS-CoV-2 Infection across Claims and Electronic Health Record Databases,"Spotnitz M, Hripcsak G, Ryan P, Natarajan K",Spotnitz M,,2021,,,crossref,726896,7,8ee77a7d5e9ca70806e4806df0c05a3753e968217ddae2c2cba6d3f3fe8e6174,Characterizing Post-Acute Sequelae of SARS-CoV-2 Infection across Claims and Electronic Health Record Databases,Matthew Spotnitz,,,Microsoft Word,
10.1101_2021.03.23.21254098__97bbda113a37.pdf,10.1101/2021.03.23.21254098,,,,A standardized analytics pipeline for reliable and rapid development and validation of prediction models using observational health data,"Khalid S, Yang C, Blacketer C, Duarte-Salles T, Fernández-Bertolín S, Kim C, Park R, Park J, Schuemie M, Sena A, Suchard M, You S, Rijnbeek P, Reps J",Khalid S,,2021,,,crossref,1582881,15,c0fb9ce46e16db0e16ecbaacf5df942b54c2b615de74add1fcc5a1655eab2c1d,A standardized analytics pipeline for reliable and rapid development and validation of prediction models using observational health data,Cynthia Yang,,,Microsoft® Word for Microsoft 365,Microsoft® Word for Microsoft 365
10.1101_2021.03.25.21254315__64037f89dcc1.pdf,10.1101/2021.03.25.21254315,,,,Characterizing the incidence of adverse events of special interest for COVID-19 vaccines across eight countries: a multinational network cohort study,"Li X, Ostropolets A, Makadia R, Shaoibi A, Rao G, Sena A, Martinez-Hernandez E, Delmestri A, Verhamme K, Rijnbeek P, Duarte-Salles T, Suchard M, Ryan P, Hripcsak G, Prieto-Alhambra D",Li X,,2021,,,crossref,640486,14,8af1b8d27eb2ee3307f83b903f3d867f5d2c4e3cd532ca2eca2a940f97a983e8,Characterizing the incidence of adverse events of special interest for COVID-19 vaccines across eight countries: a multinational network cohort study,Xintong Li,,,Microsoft® Word for Microsoft 365,Microsoft® Word for Microsoft 365
10.1101_2021.03.25.21254341__a0371fbba0d7.pdf,10.1101/2021.03.25.21254341,,,,Increasing Trust in Real-World Evidence Through Evaluation of Observational Data Quality,"Blacketer C, Defalco F, Ryan P, Rijnbeek P",Blacketer C,,2021,,,crossref,595472,15,6b3af8f2e1c6833c4ca5ea1c633fd721d2d763b5683cdb33a353b1a6cafde86d,Increasing Trust in Real-World Evidence Through Evaluation of Observational Data Quality,Clair Blacketer,,,Word,macOS Version 11.2.3 (Build 20D91) Quartz PDFContext
10.1101_2021.03.30.21254549__691faf4687cd.pdf,10.1101/2021.03.30.21254549,,,,Arrhythmia variant associations and reclassifications in the eMERGE-III sequencing study,"Glazer A, Davogustto G, Shaffer C, Vanoye C, Desai R, Farber-Eger E, Dikilitas O, Shang N, Pacheco J, Yang T, Muhammad A, Mosley J, Driest S, Wells Q, Rinke L, Kalash O, Wada Y, Bland S, Yoneda Z, Mitchell D, Kroncke B, Kullo I, Jarvik G, Gordon A, Larson E, Manolio T, Mirshahi T, Luo J, Schaid D, Namjou B, Alsaied T, Singh R, Singhal A, Liu C, Weng C, Hripcsak G, Ralston J, McNally E, Chung W, Carrell D, Leppig K, Hakonarson H, Sleiman P, Sohn S, Glessner J, Denny J, Wei W, George A, Shoemaker M, Roden D",Glazer A,,2021,,,crossref,2631645,36,fb6bb478166a829e54d85f5f2e75dac62504309bb4ef0f658be19b73817eacdf,Arrhythmia variant associations and reclassifications in the eMERGE-III sequencing study,,,,Word,Mac OS X 10.12.6 Quartz PDFContext
10.1101_2021.04.06.21254966__6a9789d095a4.pdf,10.1101/2021.04.06.21254966,,,,Using the OHDSI network to develop and externally validate a patient-level prediction model for Heart Failure in Type II Diabetes Mellitus,"Williams R, Reps J, Kors J, Ryan P, Steyerberg E, Verhamme K, Rijnbeek P",Williams R,,2021,,,crossref,1188573,17,cedd15137398a3a30986da104dcf2ab4c5e68cab9c41705493d9a6c208a5f83f,Using the OHDSI network to develop and externally validate a patient-level prediction model for Heart Failure in Type II Diabetes Mellitus,RossWilliams,,,,Microsoft: Print To PDF
10.1101_2021.05.02.21256495__2961c00e78ed.pdf,10.1101/2021.05.02.21256495,,,,Male-Female Disparities in Years of Potential Life Lost Attributable to COVID-19 in the United States: A State-by-State Analysis,"Xu J, Chen J, Belin T, Brookmeyer R, Suchard M, Ramirez C",Xu J,,2021,,,crossref,683648,24,5b3e154a804b0605b835f97e70e9e4100e0018c0f7247dfd5db095434bff9fac,Male-Female Disparities in Years of Potential Life Lost Attributable to COVID-19 in the United States: A State-by-State Analysis,"Firstname Lastname, Firstname Lastname and Firstname Lastname","Males are at higher risk relative to females of severe outcomes following COVID-19 infection. Focusing on COVID-19-attributable mortality in the United States (U.S.), we quantify and contrast years of potential life lost (YPLL) attributable to COVID-19 by sex based on data from the U.S. National Center for Health Statistics as of 31 March 2021, specifically by contrasting male and female percentages of total YPLL with their respective percent population shares and calculating age-adjusted male-to-female YPLL rate ratios both nationally and for each of the 50 states and the District of Columbia. Using YPLL before age 75 to anchor comparisons between males and females and a novel Monte Carlo simulation procedure to perform estimation and uncertainty quantification, our results reveal a near-universal pattern across states of higher COVID-19-attributable YPLL among males compared to females. Furthermore, the disproportionately high COVID-19 mortality burden among males is generally more pronounced when measuring mortality in terms of YPLL compared to age-irrespective death counts, reflecting dual phenomena of males dying from COVID-19 at higher rates and at systematically younger ages relative to females. The U.S. COVID-19 epidemic also offers lessons underscoring the importance of a public health environment that recognizes sex-specific needs as well as different patterns in risk factors, health behaviors, and responses to interventions between men and women. Public health strategies incorporating focused efforts to increase COVID-19 vaccinations among men are particularly urged.",coronavirus; COVID-19; epidemiology; Monte Carlo simulation; public health; SARS-CoV-2; sex disparities; United States; vaccine hesitancy; years of potential life lost,LaTeX with hyperref,pdfTeX-1.40.21
10.1101_2021.05.12.21257083__ad9fcc90b52d.pdf,10.1101/2021.05.12.21257083,,,,Background rates of five thrombosis with thrombocytopenia syndromes of special interest for COVID-19 vaccine safety surveillance: incidence between 2017 and 2019 and patient profiles from 25.4 million people in six European countries,"Burn E, Li X, Kostka K, Morgan Stewart H, Reich C, Seager S, Duarte-Salles T, Fernandez-Bertolin S, Aragón M, Reyes C, Martinez-Hernandez E, Marti E, Delmestri A, Verhamme K, Rijnbeek P, Horban S, Morales D, Prieto-Alhambra D",Burn E,,2021,,,crossref,1596117,46,6b9abc5f5582789af284a139a129875ad2a900ef6e2de7b8cd118d9056e1f632,Background rates of five thrombosis with thrombocytopenia syndromes of special interest for COVID-19 vaccine safety surveillance: incidence between 2017 and 2019 and patient profiles from 25.4 million people in six European countries,Ed Burn,,,Microsoft® Word for Microsoft 365,Microsoft® Word for Microsoft 365
10.1101_2021.05.18.21257371__d4476e649cb8.pdf,10.1101/2021.05.18.21257371,,,,"Cancer and the risk of COVID-19 diagnosis, hospitalisation, and death: a population-based multi-state cohort study including 4,618,377 adults in Catalonia, Spain","Roel E, Pistillo A, Recalde M, Fernández-Bertolín S, Aragón M, Soerjomataram I, Jenab M, Puente D, Prieto-Alhambra D, Burn E, Duarte-Salles T",Roel E,,2021,,,crossref,978865,32,092f91d7bf198c0e6be8ad0f1c608d78f63a0d1732596a9a881c2ccc80fc38a1,68230190,Administrator,,,Appligent AppendPDF Pro 5.5,Acrobat Distiller 8.1.0 (Windows)
10.1101_2021.06.16.21259043__84c0205f74b9.pdf,10.1101/2021.06.16.21259043,,,,Using aggregate patient data at the bedside via an on-demand consultation service,"Callahan A, Gombar S, Cahan E, Jung K, Steinberg E, Polony V, Morse K, Tibshirani R, Hastie T, Harrington R, Shah N",Callahan A,,2021,,,crossref,1361633,23,b4ff4085c749fe53b946f85f7b0368794640aef4e4448d798b4ef18dcb329ba5,Using aggregate patient data at the bedside via an on-demand consultation service,,,,Word,macOS Version 11.2.3 (Build 20D91) Quartz PDFContext
10.1101_2021.06.27.21258701__52d2dae20ee7.pdf,10.1101/2021.06.27.21258701,,,,Empirical evaluation of the sensitivity of background incidence rate characterization for adverse events across an international observational data network,"Ostropolets A, Li X, Makadia R, Rao G, Rijnbeek P, Duarte-Salles T, Sena A, Shaoibi A, Suchard M, Ryan P, Prieto-Alhambra D, Hripcsak G",Ostropolets A,,2021,,,crossref,1387681,20,f88f73063eb74db68c3bbd3b45631d865825cf62e759250f68ff9298fd8ef822,Empirical evaluation of the sensitivity of background incidence rate characterization for adverse events across an international observational data network,"Ostropolets, Anna",,,Microsoft Word,
